number_employment_days,Designation,promotion,Increment,business_value_index
273,1,0,0,43.55
519,2,1,0,5235.24
33,2,0,0,0.0
123,1,0,0,2889.11
19,3,0,0,0.0
62,1,0,0,0.0
237,1,0,0,0.0
208,1,0,0,5211.83
182,2,0,0,5219.84
1586,4,2,0,6234.14
90,3,0,0,1114.56
304,3,2,0,8261.22
1655,4,2,0,2153.59
746,4,3,0,33311.76
20,2,0,0,0.0
300,2,0,0,387.7
1580,4,1,0,3322.33
538,1,0,0,29008.51
1251,3,2,0,1399.28
608,2,0,0,3169.42
203,2,0,0,0.0
225,1,0,0,2377.02
122,2,0,0,9172.13
1616,5,3,0,16310.97
908,1,0,0,2645.72
185,4,0,0,4608.32
290,1,0,0,548.62
172,2,0,0,-40.35
252,1,0,0,2718.97
1251,1,0,0,970.62
147,2,0,0,0.0
141,1,0,0,7955.96
300,1,0,0,300.0
179,1,0,0,3351.96
644,1,0,0,7938.4
141,3,0,0,0.0
94,1,0,0,0.0
211,1,0,0,4473.08
185,2,0,0,3343.3
1970,3,2,0,6264.8
417,1,0,0,9098.49
198,2,0,0,10101.01
140,1,0,0,0.0
507,2,1,0,10982.68
398,2,1,0,6196.46
604,2,1,0,17646.89
1564,3,2,0,4707.98
138,2,0,0,1449.28
103,1,0,0,0.0
1061,4,2,0,1677.96
265,3,0,0,54576.91
202,1,0,0,7729.11
187,2,0,0,12795.72
599,1,0,0,7308.63
56,3,0,0,0.0
739,3,2,0,2330.51
691,1,0,0,7489.88
265,2,0,0,12909.25
152,1,0,0,15181.84
20,3,0,0,0.0
54,3,0,0,0.0
450,1,0,0,7105.4
78,3,0,0,0.0
55,2,0,0,0.0
53,3,0,0,0.0
76,2,0,0,8585.13
2237,2,1,0,2445.47
57,1,0,0,0.0
572,2,1,0,18349.14
1256,1,0,0,5320.53
67,2,0,0,0.0
239,3,0,0,0.0
358,3,0,0,4206.62
2267,4,2,0,7988.46
835,3,2,0,4009.23
31,2,0,0,0.0
91,2,0,0,0.0
139,2,0,0,0.0
174,3,0,0,2365.86
103,4,2,0,1941.75
2099,4,2,0,4091.29
86,2,0,0,20746.98
652,3,2,0,35113.33
32,1,0,0,0.0
1611,4,2,0,8638.37
209,1,0,0,7023.44
139,1,0,0,6597.63
70,1,0,0,0.0
176,1,0,0,3281.14
32,3,0,0,0.0
24,1,0,0,0.0
1883,4,2,0,2818.58
136,2,0,0,0.0
1566,3,1,0,3891.88
48,1,0,0,0.0
435,2,0,0,1342.94
67,3,0,0,0.0
485,1,0,0,4551.2
2364,4,2,0,9891.67
144,2,0,0,0.0
82,3,0,0,0.0
355,1,0,0,1351.35
1347,3,2,0,7200.65
222,2,0,0,8308.47
59,1,0,0,3389.83
62,2,0,0,0.0
52,1,0,0,-9615.38
794,3,2,0,20072.63
202,3,0,0,5787.33
133,1,0,0,0.0
671,2,0,0,9991.33
454,2,0,0,13463.81
1560,2,0,0,2273.94
214,1,0,0,5885.0
42,3,0,0,0.0
93,1,0,0,0.0
263,1,0,0,5849.96
216,2,0,0,10422.64
928,4,3,0,19892.63
2294,5,2,0,0.0
409,2,0,0,1480.56
365,3,0,0,16515.34
26,2,0,0,0.0
2055,3,1,0,4565.74
1462,3,1,0,7214.57
111,2,0,0,7545.59
195,1,0,0,7825.23
511,5,4,0,5381.6
1623,4,3,0,6007.09
1840,4,2,0,1988.42
141,3,0,0,11640.5
89,1,0,0,15482.36
140,2,0,0,6428.57
175,1,0,0,14898.17
1974,3,2,0,400.72
438,2,1,0,12951.32
591,2,1,0,11745.3
84,2,0,0,0.0
286,2,0,0,5689.72
108,2,0,0,0.0
1405,1,0,0,3310.48
594,2,1,0,12152.61
50,3,0,0,0.0
27,2,0,0,0.0
600,2,1,0,3817.63
57,2,0,0,0.0
495,2,0,0,7946.44
150,1,0,0,1333.33
1111,2,1,0,809.24
552,2,1,0,10051.45
276,1,0,0,3021.16
46,1,0,0,0.0
309,1,0,0,809.06
163,1,0,0,0.0
484,1,0,0,3295.48
169,1,0,0,4520.24
347,1,0,0,5876.63
1994,4,2,0,4319.93
30,2,0,0,0.0
142,1,0,0,3825.49
585,1,0,0,11639.54
593,2,1,0,10832.36
134,2,0,0,0.0
307,2,1,0,4107.82
458,2,1,0,16078.58
207,1,0,0,5693.14
54,2,0,0,0.0
107,1,0,0,3690.19
916,2,1,0,8755.68
139,2,0,0,0.0
352,1,0,0,4924.35
670,3,2,0,4036.25
62,1,0,0,0.0
154,1,0,0,0.0
300,1,0,0,0.0
216,2,0,0,3666.71
34,2,0,0,0.0
1693,3,1,0,4012.89
570,1,0,0,6519.79
41,1,0,0,0.0
62,3,0,0,0.0
1487,2,0,0,1658.63
44,3,0,0,0.0
449,1,0,0,5128.69
195,2,0,0,5530.41
2467,5,3,0,17862.94
74,2,0,0,0.0
169,4,0,0,12426.04
420,2,1,0,4767.88
1922,3,1,0,2303.0
403,1,0,0,5726.65
1300,3,2,0,9028.6
68,1,0,0,0.0
58,1,0,0,2075.17
502,1,0,0,1827.97
71,2,0,0,2116.62
127,1,0,0,2485.43
130,1,0,0,6479.77
1627,2,1,0,5390.49
711,3,1,0,9773.0
367,1,0,0,3263.62
41,1,0,0,0.0
424,2,1,0,3279.39
1564,2,1,0,6284.12
86,3,0,0,7558.14
69,1,0,0,0.0
30,2,0,0,0.0
172,2,0,0,5406.69
334,1,0,0,1966.98
1158,2,1,0,1916.04
946,4,0,0,3372.1
45,1,0,0,0.0
236,1,0,0,5425.93
216,2,0,0,13919.58
605,2,1,0,14086.78
166,1,0,0,7078.07
1163,3,2,0,3655.56
2369,5,4,0,10751.54
266,2,0,0,1864.77
2155,3,1,0,1025.57
150,2,0,0,0.0
1256,2,0,0,6630.29
1343,2,1,0,4479.49
446,2,1,0,14894.28
245,1,0,0,2982.57
123,3,0,0,2439.02
1608,4,3,0,14260.94
2288,4,3,0,8437.1
389,1,0,0,5122.8
666,1,0,0,4361.61
54,3,0,0,0.0
368,2,0,0,5355.62
51,3,0,0,0.0
1518,4,3,0,17773.79
124,3,0,0,32159.52
45,2,0,0,0.0
432,3,1,0,10104.84
64,1,0,0,0.0
465,2,1,0,7041.91
116,1,0,0,5779.66
600,3,1,0,6501.45
1053,2,1,0,97.03
178,3,0,0,7022.47
515,1,0,0,5570.93
158,1,0,0,6207.09
636,1,0,0,4893.76
166,2,0,0,1204.82
364,1,0,0,10532.97
95,1,0,0,0.0
89,1,0,0,0.0
586,3,1,0,8504.4
100,3,0,0,0.0
480,2,1,0,5986.96
738,2,1,0,21996.3
213,2,0,0,5781.88
477,1,0,0,233.84
517,1,0,0,2649.59
32,3,0,0,0.0
140,1,0,0,0.0
2075,4,2,0,7271.11
60,2,0,0,0.0
392,2,0,0,10393.57
420,3,0,0,4838.14
86,3,0,0,0.0
85,2,0,0,0.0
402,5,0,0,3663.68
90,2,0,0,0.0
13,3,0,0,0.0
259,2,0,0,0.0
566,1,0,0,1936.08
61,3,0,0,0.0
132,1,0,0,0.0
192,1,0,0,0.0
256,2,0,0,3902.81
284,4,3,0,31106.58
244,2,0,0,12188.2
25,3,0,0,0.0
381,2,0,0,1443.57
181,3,0,0,1104.97
958,1,0,0,209.83
529,1,0,0,3197.73
60,2,0,0,0.0
97,2,0,0,0.0
626,2,1,0,1474.74
33,1,0,0,0.0
210,4,2,0,5107.76
9,1,0,0,0.0
524,1,0,0,14156.22
78,3,0,0,0.0
1887,3,1,0,1017.47
24,3,0,0,0.0
34,1,0,0,0.0
34,3,0,0,0.0
65,1,0,0,0.0
1254,3,1,0,273.33
181,2,0,0,13164.86
1056,3,2,0,6257.07
155,1,0,0,2266.84
313,1,0,0,5558.02
209,2,0,0,14593.3
252,2,0,0,0.0
35,2,0,0,0.0
282,1,0,0,8255.67
183,1,0,0,10024.26
1342,3,2,0,2388.0
45,3,0,0,0.0
363,2,1,0,3645.73
1623,3,2,0,3114.57
190,1,0,0,4012.11
704,3,2,0,12367.74
156,3,0,0,20529.23
41,1,0,0,0.0
689,2,0,0,7811.6
1350,3,2,0,6161.1
284,1,0,0,0.0
792,2,0,0,285.61
243,1,0,0,0.0
1315,2,1,0,3691.13
370,1,0,0,1724.54
85,3,0,0,0.0
414,2,0,0,4781.26
1546,4,3,0,10270.38
67,1,0,0,0.0
605,2,1,0,14853.04
2291,3,1,0,2983.85
43,2,0,0,0.0
95,3,0,0,1634.53
1539,3,1,0,6618.02
667,2,1,0,1962.52
184,3,0,0,11321.79
438,2,1,0,1989.91
361,4,0,0,337.89
47,2,0,0,0.0
243,1,0,0,0.0
476,1,0,0,7448.68
1434,2,1,0,3960.98
294,1,0,0,2921.19
26,2,0,0,0.0
245,2,0,0,8307.55
2097,5,4,0,0.0
1469,3,2,0,4426.67
457,2,0,0,2124.07
99,1,0,0,0.0
524,1,0,0,12675.32
1131,2,1,0,5065.63
187,2,0,0,14594.81
362,1,0,0,3022.4
534,2,1,0,18161.46
600,1,0,0,9304.07
298,2,0,0,4204.93
554,1,0,0,11358.94
130,1,0,0,0.0
1058,2,1,0,7642.81
1346,2,1,0,2923.02
95,2,0,0,11880.11
66,2,0,0,0.0
146,1,0,0,4828.97
587,1,0,0,16450.27
161,1,0,0,2173.48
187,1,0,0,0.0
457,2,0,0,9171.84
78,1,0,0,3108.97
93,1,0,0,0.0
271,1,0,0,4903.32
281,1,0,0,3302.95
367,1,0,0,0.0
180,1,0,0,5511.72
47,3,0,0,0.0
725,1,0,0,7458.14
143,2,0,0,813.99
608,1,0,0,2664.42
333,2,0,0,1633.72
180,1,0,0,4572.11
195,1,0,0,15680.67
242,1,0,0,2236.53
1903,3,1,0,3594.0
690,2,1,0,1080.87
112,1,0,0,0.0
118,2,0,0,0.0
242,1,0,0,0.0
340,1,0,0,10977.15
115,3,0,0,8686.96
229,2,0,0,7605.85
71,3,0,0,0.0
123,2,0,0,0.0
207,1,0,0,5884.25
224,2,0,0,6204.96
205,1,0,0,7974.54
75,1,0,0,0.0
2279,4,2,0,6168.67
176,2,0,0,5266.59
1595,2,1,0,4969.45
1350,2,1,0,7904.64
60,1,0,0,7533.5
1348,2,1,0,766.22
85,2,0,0,4772.0
1830,4,2,0,6573.05
28,1,0,0,0.0
209,1,0,0,12727.61
130,1,0,0,969.31
502,2,0,0,7356.97
49,2,0,0,0.0
83,1,0,0,2530.12
33,3,0,0,0.0
874,2,1,0,16397.57
548,1,0,0,9295.71
1613,4,1,0,2217.79
1325,2,1,0,5163.06
378,2,1,0,3044.23
571,2,1,0,24539.42
23,2,0,0,0.0
1198,2,0,0,1805.59
901,4,0,0,0.0
174,2,0,0,11841.67
44,1,0,0,0.0
271,1,0,0,0.0
45,3,0,0,0.0
62,1,0,0,0.0
47,1,0,0,0.0
508,2,0,0,4922.78
278,1,0,0,3213.85
69,3,0,0,0.0
1004,1,0,0,1044.03
130,1,0,0,2749.0
109,2,0,0,10182.2
1207,2,0,0,617.46
1444,3,1,0,517.96
804,3,2,0,3240.51
78,1,0,0,-8531.79
355,2,0,0,22466.59
89,4,0,0,10043.93
496,1,0,0,0.0
79,2,0,0,0.0
1522,1,0,0,1546.74
104,1,0,0,1445.29
1263,3,2,0,9725.7
729,1,0,0,8753.16
448,2,1,0,3990.09
50,2,0,0,0.0
228,1,0,0,438.6
2273,4,2,0,410.39
151,4,0,0,20927.15
84,4,0,0,22339.64
46,1,0,0,0.0
1578,4,3,0,5468.02
180,3,0,0,7068.28
142,3,0,0,13997.75
79,1,0,0,0.0
536,1,0,0,13099.29
524,2,1,0,13209.05
44,1,0,0,0.0
1351,3,2,0,2968.23
117,1,0,0,0.0
118,2,0,0,0.0
2213,3,1,0,912.07
265,2,0,0,7432.53
565,3,2,0,22399.01
148,2,0,0,2578.78
46,3,0,0,0.0
158,1,0,0,7903.73
179,1,0,0,9197.82
104,3,0,0,1007.12
1252,2,1,0,1380.32
603,2,0,0,6313.8
1959,3,2,0,5340.26
90,3,0,0,0.0
157,2,0,0,0.0
46,3,0,0,0.0
27,3,0,0,0.0
19,2,0,0,0.0
1627,3,2,0,3373.55
531,1,0,0,10693.37
596,3,1,0,2007.77
1543,3,2,0,5365.48
276,5,0,0,0.0
571,2,1,0,31553.49
1345,4,3,0,12932.07
691,4,2,0,8055.76
224,1,0,0,4174.82
489,5,0,0,11830.51
8,2,0,0,0.0
255,1,0,0,393.37
1577,4,2,0,1716.4
719,1,0,0,6172.21
1339,5,0,0,0.0
96,1,0,0,0.0
243,1,0,0,0.0
462,2,0,0,7269.76
125,4,0,0,1127.04
689,1,0,0,5010.39
212,3,0,0,5275.57
1980,4,2,0,2339.81
46,3,0,0,0.0
522,1,0,0,8069.71
384,1,0,0,355.49
328,1,0,0,1246.4
18,3,0,0,0.0
166,1,0,0,3275.9
400,2,0,0,3896.25
1676,4,2,0,8109.08
195,4,2,0,43400.0
31,4,0,0,0.0
38,2,0,0,0.0
1112,3,2,0,11868.58
266,3,0,0,0.0
188,1,0,0,1434.68
1948,3,2,0,4468.69
148,2,0,0,774.05
1346,1,0,0,3246.36
371,2,1,0,1408.71
250,2,0,0,1000.0
1244,4,3,0,13048.59
92,3,0,0,0.0
107,2,0,0,7483.27
60,2,0,0,0.0
302,3,0,0,0.0
140,2,0,0,0.0
1138,2,1,0,1323.48
41,3,0,0,0.0
164,1,0,0,6768.84
484,2,0,0,5047.52
78,2,0,0,0.0
1101,2,1,0,5770.51
61,1,0,0,0.0
40,2,0,0,5000.0
55,2,0,0,0.0
565,1,0,0,15235.77
1495,2,0,0,1134.69
97,1,0,0,0.0
543,1,0,0,214.36
34,1,0,0,0.0
204,1,0,0,2389.51
177,3,0,0,11940.17
174,1,0,0,3448.28
409,3,1,0,0.0
54,2,0,0,0.0
372,2,0,0,6088.47
191,3,0,0,0.0
119,2,0,0,3608.66
160,1,0,0,3341.62
136,3,0,0,909.71
881,1,0,0,5084.71
1623,3,2,0,4041.87
1595,3,1,0,2056.43
358,4,0,0,20744.19
337,2,0,0,9705.96
538,1,0,0,25211.86
1441,5,0,0,923.39
353,2,0,0,762.72
116,1,0,0,1724.14
766,1,0,0,8969.24
70,2,0,0,0.0
702,2,1,0,18491.31
42,1,0,0,0.0
1536,3,2,0,7347.34
139,1,0,0,3971.44
122,2,0,0,1674.84
440,1,0,0,2212.34
58,3,0,0,6896.55
62,1,0,0,0.0
761,2,1,0,290.79
2187,3,1,0,1482.91
813,1,0,0,3981.39
1602,3,1,0,3590.27
296,2,0,0,3722.84
179,2,0,0,1098.1
520,2,1,0,28480.42
825,2,0,0,7670.23
30,3,0,0,0.0
892,3,2,0,3188.14
365,1,0,0,1646.77
495,1,0,0,15870.32
49,1,0,0,0.0
1244,3,2,0,2278.9
75,1,0,0,0.0
214,2,0,0,6059.72
167,1,0,0,9236.53
302,1,0,0,786.92
276,1,0,0,491.41
86,3,0,0,0.0
1623,3,2,0,6711.23
226,3,0,0,3184.69
472,1,0,0,8553.03
335,1,0,0,1700.72
61,1,0,0,0.0
139,1,0,0,1851.51
589,1,0,0,10311.94
61,1,0,0,0.0
1441,3,2,0,8136.77
157,1,0,0,1604.78
592,1,0,0,4341.79
346,2,0,0,10904.48
578,2,0,0,7824.13
308,1,0,0,1738.05
154,1,0,0,0.0
2267,4,2,0,3228.86
176,2,0,0,8874.55
63,3,0,0,0.0
521,2,1,0,7668.45
65,2,0,0,0.0
181,2,0,0,7598.29
68,1,0,0,0.0
340,2,1,0,0.0
135,1,0,0,4379.41
1531,3,1,0,1439.63
203,1,0,0,1500.54
62,1,0,0,0.0
1616,3,2,0,2484.67
342,2,0,0,0.0
438,2,1,0,19329.29
124,4,2,0,7741.94
1560,4,3,0,10206.03
45,1,0,0,0.0
34,1,0,0,0.0
1578,2,1,0,3762.92
199,3,0,0,0.0
2273,4,3,0,6351.52
510,2,1,0,30224.43
376,1,0,0,8620.9
33,1,0,0,0.0
122,1,0,0,872.38
1620,4,2,0,7918.9
1120,2,1,0,2291.01
200,2,0,0,532.55
1620,4,3,0,14491.91
44,1,0,0,0.0
1605,2,1,0,2024.7
396,1,0,0,815.73
2262,3,1,0,4344.83
64,3,0,0,0.0
1550,3,1,0,6351.53
2029,3,2,0,4307.24
108,2,0,0,4749.07
866,3,2,0,5343.2
62,2,0,0,0.0
454,3,1,0,71891.85
378,2,1,0,5201.77
1539,3,1,0,4837.8
224,2,0,0,2004.6
296,2,1,0,2046.82
84,2,0,0,0.0
440,1,0,0,4458.84
1678,3,1,0,6481.33
2015,4,2,0,16049.44
365,1,0,0,8136.38
264,1,0,0,0.0
24,1,0,0,0.0
111,3,0,0,0.0
1104,1,0,0,5579.08
166,1,0,0,7549.1
787,3,2,0,17453.81
125,2,0,0,0.0
550,2,0,0,3556.95
106,1,0,0,0.0
1497,4,2,0,12282.43
54,3,0,0,0.0
279,1,0,0,1693.51
199,2,0,0,2204.12
1434,4,3,0,8854.23
2391,4,2,0,5494.71
115,1,0,0,1687.3
514,2,0,0,4716.28
41,1,0,0,0.0
477,2,0,0,1706.94
211,1,0,0,1184.83
1936,4,2,0,11747.43
1679,4,3,0,3668.69
121,1,0,0,0.0
63,2,0,0,0.0
362,1,0,0,4228.67
164,1,0,0,15953.05
582,1,0,0,0.0
128,2,0,0,-5040.23
369,2,0,0,860.87
26,3,0,0,0.0
614,5,0,0,0.0
502,1,0,0,23129.28
37,2,0,0,0.0
278,2,0,0,0.0
1539,3,2,0,6701.63
111,3,0,0,3987.57
180,2,0,0,0.0
204,2,0,0,0.0
1057,2,1,0,136.42
323,2,0,0,4168.73
33,1,0,0,0.0
1381,5,0,0,0.0
18,3,0,0,0.0
247,4,3,0,94890.12
573,3,2,0,31886.35
11,3,0,0,0.0
1125,3,2,0,753.95
392,1,0,0,11308.95
181,4,0,0,31266.91
195,1,0,0,39825.64
363,2,1,0,11356.61
509,2,0,0,17183.91
1572,2,0,0,1566.54
1216,3,2,0,5185.62
1420,2,0,0,3210.8
1032,2,1,0,2045.99
2236,3,1,0,4137.66
265,2,0,0,3091.4
62,2,0,0,0.0
676,2,0,0,7014.82
1345,2,1,0,3457.52
333,2,1,0,6662.46
63,1,0,0,0.0
1966,5,3,0,8991.15
31,2,0,0,0.0
89,1,0,0,0.0
120,3,0,0,8664.25
862,4,3,0,8531.35
1490,3,2,0,6057.22
69,1,0,0,0.0
26,1,0,0,0.0
126,1,0,0,0.0
17,1,0,0,0.0
1077,5,0,0,1555.87
177,2,0,0,38300.9
531,1,0,0,7899.7
2262,4,2,0,4159.37
365,1,0,0,1460.6
337,2,0,0,8091.69
78,2,0,0,0.0
2435,4,2,0,6693.1
154,1,0,0,4104.42
730,2,1,0,1585.44
1079,2,1,0,1998.02
34,3,0,0,0.0
1054,3,1,0,5461.14
558,1,0,0,13179.71
67,1,0,0,2900.3
1798,3,1,0,4498.79
48,2,0,0,0.0
75,1,0,0,0.0
184,2,0,0,9073.15
1235,2,1,0,5807.6
167,3,0,0,0.0
105,3,0,0,2592.57
151,2,0,0,728.48
538,1,0,0,14393.98
278,2,0,0,5094.03
186,1,0,0,46467.74
1812,4,2,0,5526.16
1056,2,1,0,2487.03
62,2,0,0,0.0
21,4,2,0,0.0
174,4,0,0,31063.28
1346,3,2,0,5413.3
96,2,0,0,3125.0
344,1,0,0,6810.64
48,2,0,0,0.0
227,2,0,0,2430.31
179,2,0,0,6448.99
393,1,0,0,9724.99
213,4,2,0,12532.72
58,1,0,0,0.0
167,4,0,0,14163.17
1854,4,2,0,4351.73
31,1,0,0,0.0
93,1,0,0,0.0
105,3,0,0,3865.9
128,1,0,0,1212.5
599,2,1,0,7244.77
192,1,0,0,7300.26
161,2,0,0,2484.47
1616,2,1,0,1917.95
320,2,0,0,42973.97
294,2,0,0,8135.2
44,4,0,0,0.0
391,1,0,0,5418.24
32,1,0,0,0.0
166,1,0,0,0.0
731,2,1,0,4845.39
165,1,0,0,4956.55
38,2,0,0,0.0
183,1,0,0,1272.24
47,2,0,0,0.0
1539,4,2,0,6537.39
1623,2,1,0,4237.26
2286,4,0,0,4410.51
76,1,0,0,0.0
1292,2,1,0,0.0
417,2,0,0,8799.95
64,1,0,0,0.0
332,2,0,0,2322.89
369,2,0,0,17934.2
1336,1,0,0,2206.66
68,3,0,0,0.0
86,1,0,0,3609.19
1887,4,2,0,3475.51
145,3,0,0,19470.14
131,1,0,0,0.0
951,1,0,0,6507.66
28,1,0,0,0.0
430,1,0,0,5368.05
2235,3,1,0,1769.52
1606,2,1,0,6277.88
47,3,0,0,0.0
61,3,0,0,1650.49
1341,4,3,0,13663.57
41,2,0,0,0.0
72,1,0,0,0.0
1290,1,0,0,1460.87
154,1,0,0,0.0
431,2,0,0,10466.03
89,2,0,0,0.0
1137,1,0,0,3535.57
85,2,0,0,1808.0
1347,2,1,0,4277.12
53,1,0,0,0.0
61,2,0,0,0.0
842,1,0,0,253.37
401,2,0,0,25636.21
566,2,1,0,17605.41
151,4,0,0,4701.99
155,2,0,0,8388.0
320,2,0,0,3271.12
115,2,0,0,0.0
1290,3,2,0,10832.84
123,1,0,0,0.0
70,1,0,0,0.0
2273,4,0,0,2724.82
1788,4,2,0,10737.78
269,4,2,0,20802.68
1678,4,2,0,2986.76
13,1,0,0,0.0
1578,4,3,0,5107.76
527,4,1,0,45052.81
514,2,0,0,13798.97
1483,2,1,0,3896.17
233,2,0,0,5416.18
61,1,0,0,0.0
1448,3,2,0,5313.2
622,1,0,0,6866.01
13,2,0,0,0.0
669,2,1,0,3134.6
97,1,0,0,3050.1
277,4,3,0,36363.07
808,2,0,0,13246.15
589,1,0,0,3162.46
208,1,0,0,1657.31
1426,2,1,0,2628.83
590,1,0,0,5905.07
25,2,0,0,0.0
480,2,1,0,226.23
348,3,1,0,20331.78
1431,2,1,0,5010.06
58,1,0,0,0.0
211,1,0,0,1117.91
181,1,0,0,4149.56
72,4,2,0,0.0
534,1,0,0,10509.66
63,3,0,0,-2140.95
61,3,0,0,0.0
1290,3,2,0,3707.11
1511,3,2,0,3999.71
775,2,1,0,9641.63
59,2,0,0,0.0
1099,3,2,0,978.8
112,2,0,0,3241.07
674,1,0,0,7307.23
388,2,0,0,7823.35
293,1,0,0,351.26
552,1,0,0,9794.55
502,2,0,0,11062.67
215,1,0,0,5634.93
492,1,0,0,3114.53
103,2,0,0,41421.17
1343,2,1,0,6736.49
120,1,0,0,0.0
39,3,0,0,0.0
65,1,0,0,0.0
58,3,0,0,0.0
1342,2,1,0,5901.07
1875,2,1,0,5098.29
1493,3,2,0,3601.94
130,4,3,0,22658.0
125,1,0,0,7231.84
47,2,0,0,0.0
1342,2,1,0,4423.8
139,2,0,0,3603.67
40,2,0,0,0.0
206,1,0,0,4692.23
1616,4,3,0,3093.19
225,1,0,0,87.02
135,2,0,0,5914.89
348,2,0,0,2802.44
1955,4,2,0,9179.62
99,2,0,0,0.0
1434,4,3,0,6489.51
2283,4,2,0,2108.03
2389,4,2,0,4172.94
85,2,0,0,7503.29
156,1,0,0,6027.82
42,1,0,0,0.0
522,2,1,0,6173.91
34,2,0,0,0.0
1097,1,0,0,812.15
1588,1,0,0,4286.22
582,1,0,0,17567.2
390,2,0,0,4243.87
181,3,0,0,5458.67
294,2,0,0,1523.91
748,1,0,0,6694.56
475,1,0,0,-1466.55
79,1,0,0,3067.72
344,1,0,0,4108.6
455,1,0,0,4950.73
1508,2,0,0,2747.37
101,1,0,0,1487.82
31,2,0,0,0.0
25,3,0,0,0.0
438,1,0,0,467.44
98,1,0,0,0.0
154,2,0,0,2597.4
524,3,0,0,10557.75
376,2,0,0,25032.85
473,4,2,0,25572.24
562,1,0,0,8527.12
828,4,3,0,19659.21
146,4,0,0,9931.51
44,3,0,0,11363.64
1471,3,2,0,1596.27
1130,4,3,0,18622.63
149,3,0,0,4980.13
530,2,1,0,14983.0
53,1,0,0,0.0
20,2,0,0,0.0
421,2,0,0,243.99
189,1,0,0,0.0
46,3,0,0,0.0
369,1,0,0,2822.03
371,1,0,0,5266.04
222,2,0,0,2138.69
1952,2,1,0,5357.06
217,1,0,0,2394.56
183,1,0,0,596.89
164,2,0,0,5243.54
152,3,0,0,0.0
91,2,0,0,0.0
278,1,0,0,6609.71
50,2,0,0,0.0
100,1,0,0,0.0
840,3,1,0,582.86
98,1,0,0,2066.33
